CustomerKey,Customer ID,Customer,City,State-Province,Country-Region,Postal Code,email
-1,[Not Applicable],[Not Applicable],[Not Applicable],[Not Applicable],[Not Applicable],[Not Applicable],[Not Applicable]
11000,AW00011000,    Jon Yang,Rockhampton,Queensland,Australia,4700,jon.yang.@gmail.com
11001,AW00011001,Eugene     Huang,Seaford,Victoria,Australia,3198,eugene.huang.@gmail.com
11002,AW00011002,ruben torres,Hobart,Tasmania,Australia,7001,ruben.torres.@gmail.com
11003,AW00011003,CHRISTY ZHU,North Ryde,New South Wales,Australia,2113,christy.zhu.@gmail.com
11004,AW00011004,ElIzAbEtH joHnsOn,Wollongong,New South Wales,Australia,2500,elizabeth.johnson.@gmail.com
11005,AW00011005,Julio Ruiz,East Brisbane,Queensland,Australia,4169,julio.ruiz.@yahoo.com
11006,AW00011006,Janet Alvarez,Matraville,New South Wales,Australia,2036,janet.alvarez.@outlook.com
11007,AW00011007,Marco Mehta,Warrnambool,Victoria,Australia,3280,marco.mehta.@gmail.com
11008,AW00011008,Rob Verhoff,Bendigo,Victoria,Australia,3550,rob.verhoff.@gmail.com
11009,AW00011009,Shannon Carlson,Hervey Bay,Queensland,Australia,4655,shannon.carlson.@gmail.com
11010,AW00011010,Jacquelyn Suarez,East Brisbane,Queensland,Australia,4169,jacquelyn.suarez.@gmail.com
11011,AW00011011,Curtis Lu,East Brisbane,Queensland,Australia,4169,curtis.lu.@datasenseph.com
11012,AW00011012,Lauren Walker,Bremerton,Washington,United States,98312,lauren.walker.@gmail.com
11013,AW00011013,Ian Jenkins,Lebanon,Oregon,United States,97355,ian.jenkins.@gmail.com
11014,AW00011014,Sydney Bennett,Redmond,Washington,United States,98052,sydney.bennett.@gmail.com
11015,AW00011015,Chloe Young,Burbank,California,United States,91502,chloe.young.@gmail.com
11016,AW00011016,Wyatt Hill,Imperial Beach,California,United States,91932,wyatt.hill.@gmail.com
11017,AW00011017,Shannon Wang,Sunbury,Victoria,Australia,3429,shannon.wang.@gmail.com
11018,AW00011018,Clarence Rai,Bendigo,Victoria,Australia,3550,clarence.rai.@gmail.com
11019,AW00011019,Luke Lal,Langley,British Columbia,Canada,V3A 4R2,luke.lal.@gmail.com
11020,AW00011020,Jordan King,Metchosin,British Columbia,Canada,V9,jordan.king.@gmail.com
11021,AW00011021,Destiny Wilson,Beaverton,Oregon,United States,97005,destiny.wilson.@gmail.com
11022,AW00011022,Ethan Zhang,Bellingham,Washington,United States,98225,ethan.zhang.@gmail.com
11023,AW00011023,Seth Edwards,Bellflower,California,United States,90706,seth.edwards.@gmail.com
11024,AW00011024,Russell Xie,Concord,California,United States,94519,russell.xie.@gmail.com
11025,AW00011025,Alejandro Beck,Hawthorne,Queensland,Australia,4171,alejandro.beck.@gmail.com
11026,AW00011026,Harold Sai,Goulburn,New South Wales,Australia,2580,harold.sai.@gmail.com
11027,AW00011027,Jessie Zhao,Warrnambool,Victoria,Australia,3280,jessie.zhao.@gmail.com
11028,AW00011028,Jill Jimenez,St. Leonards,New South Wales,Australia,2065,jill.jimenez.@gmail.com
11029,AW00011029,Jimmy Moreno,Bendigo,Victoria,Australia,3550,jimmy.moreno.@gmail.com
11030,AW00011030,Bethany Yuan,Cloverdale,South Australia,Australia,6105,bethany.yuan.@gmail.com
11031,AW00011031,Theresa Ramos,Matraville,New South Wales,Australia,2036,theresa.ramos.@gmail.com
11032,AW00011032,Denise Stone,Melbourne,Victoria,Australia,3000,denise.stone.@gmail.com
11033,AW00011033,Jaime Nath,Milsons Point,New South Wales,Australia,2061,jaime.nath.@gmail.com
11034,AW00011034,Ebony Gonzalez,North Sydney,New South Wales,Australia,2055,ebony.gonzalez.@gmail.com
11035,AW00011035,Wendy Dominguez,Cranbourne,Victoria,Australia,3977,wendy.dominguez.@gmail.com
11036,AW00011036,Jennifer Russell,National City,California,United States,91950,jennifer.russell.@gmail.com
11037,AW00011037,Chloe Garcia,Cliffside,British Columbia,Canada,V8Y 1L1,chloe.garcia.@gmail.com
11038,AW00011038,Diana Hernandez,Lavender Bay,New South Wales,Australia,2060,diana.hernandez.@gmail.com
11039,AW00011039,Marc Martin,Wollongong,New South Wales,Australia,2500,marc.martin.@gmail.com
11040,AW00011040,Jesse Murphy,Tacoma,Washington,United States,98403,jesse.murphy.@gmail.com
11041,AW00011041,Amanda Carter,Glendale,California,United States,91203,amanda.carter.@gmail.com
11042,AW00011042,Megan Sanchez,Los Angeles,California,United States,90012,megan.sanchez.@gmail.com
11043,AW00011043,Nathan Simmons,Glendale,California,United States,91203,nathan.simmons.@gmail.com
11044,AW00011044,Adam Flores,Hervey Bay,Queensland,Australia,4655,adam.flores.@gmail.com
11045,AW00011045,Leonard Nara,Matraville,New South Wales,Australia,2036,leonard.nara.@gmail.com
11046,AW00011046,Christine Yuan,Lavender Bay,New South Wales,Australia,2060,christine.yuan.@gmail.com
11047,AW00011047,Jaclyn Lu,Geelong,Victoria,Australia,3220,jaclyn.lu.@gmail.com
11048,AW00011048,Jeremy Powell,Sunbury,Victoria,Australia,3429,jeremy.powell.@gmail.com
11049,AW00011049,Carol Rai,Chula Vista,California,United States,91910,carol.rai.@gmail.com
11050,AW00011050,Alan Zheng,Hobart,Tasmania,Australia,7001,alan.zheng.@gmail.com
11051,AW00011051,Daniel Johnson,Caloundra,Queensland,Australia,4551,daniel.johnson.@gmail.com
11052,AW00011052,Heidi Lopez,Matraville,New South Wales,Australia,2036,heidi.lopez.@gmail.com
11053,AW00011053,Ana Price,San Diego,California,United States,92102,ana.price.@gmail.com
11054,AW00011054,Deanna Munoz,Geelong,Victoria,Australia,3220,deanna.munoz.@gmail.com
11055,AW00011055,Gilbert Raje,East Brisbane,Queensland,Australia,4169,gilbert.raje.@gmail.com
11056,AW00011056,Michele Nath,Newcastle,New South Wales,Australia,2300,michele.nath.@gmail.com
11057,AW00011057,Carl Andersen,Lane Cove,New South Wales,Australia,1597,carl.andersen.@gmail.com
11058,AW00011058,Marc Diaz,Findon,South Australia,Australia,5023,marc.diaz.@gmail.com
11059,AW00011059,Ashlee Andersen,Townsville,Queensland,Australia,4810,ashlee.andersen.@gmail.com
11060,AW00011060,Jon Zhou,Warrnambool,Victoria,Australia,3280,jon.zhou.@gmail.com
11061,AW00011061,Todd Gao,Gold Coast,Queensland,Australia,4217,todd.gao.@gmail.com
11062,AW00011062,Noah Powell,Portland,Oregon,United States,97205,noah.powell.@gmail.com
11063,AW00011063,Angela Murphy,Redmond,Washington,United States,98052,angela.murphy.@gmail.com
11064,AW00011064,Chase Reed,Downey,California,United States,90241,chase.reed.@gmail.com
11065,AW00011065,Jessica Henderson,La Jolla,California,United States,92806,jessica.henderson.@gmail.com
11066,AW00011066,Grace Butler,Lebanon,Oregon,United States,97355,grace.butler.@gmail.com
11067,AW00011067,Caleb Carter,Port Orchard,Washington,United States,98366,caleb.carter.@gmail.com
11068,AW00011068,Tiffany Liang,Warrnambool,Victoria,Australia,3280,tiffany.liang.@gmail.com
11069,AW00011069,Carolyn Navarro,Gold Coast,Queensland,Australia,4217,carolyn.navarro.@gmail.com
11070,AW00011070,Willie Raji,Sunbury,Victoria,Australia,3429,willie.raji.@gmail.com
11071,AW00011071,Linda Serrano,Hawthorne,Queensland,Australia,4171,linda.serrano.@gmail.com
11072,AW00011072,Casey Luo,St. Leonards,New South Wales,Australia,2065,casey.luo.@gmail.com
11073,AW00011073,Amy Ye,Springwood,New South Wales,Australia,2777,amy.ye.@gmail.com
11074,AW00011074,Levi Arun,Cloverdale,South Australia,Australia,6105,levi.arun.@gmail.com
11075,AW00011075,Felicia Jimenez,Bendigo,Victoria,Australia,3550,felicia.jimenez.@gmail.com
11076,AW00011076,Blake Anderson,Wollongong,New South Wales,Australia,2500,blake.anderson.@gmail.com
11077,AW00011077,Leah Ye,Melton,Victoria,Australia,3337,leah.ye.@gmail.com
11078,AW00011078,Gina Martin,Cliffside,British Columbia,Canada,V8Y 1L1,gina.martin.@gmail.com
11079,AW00011079,Donald Gonzalez,Geelong,Victoria,Australia,3220,donald.gonzalez.@gmail.com
11080,AW00011080,Damien Chander,Perth,South Australia,Australia,6006,damien.chander.@gmail.com
11081,AW00011081,Savannah Baker,Concord,California,United States,94519,savannah.baker.@gmail.com
11082,AW00011082,Angela Butler,Fremont,California,United States,94536,angela.butler.@gmail.com
11083,AW00011083,Alyssa Cox,Lincoln Acres,California,United States,91950,alyssa.cox.@gmail.com
11084,AW00011084,Lucas Phillips,Lebanon,Oregon,United States,97355,lucas.phillips.@gmail.com
11085,AW00011085,Emily Johnson,Newport Beach,California,United States,92625,emily.johnson.@gmail.com
11086,AW00011086,Ryan Brown,Santa Monica,California,United States,90401,ryan.brown.@gmail.com
11087,AW00011087,Tamara Liang,Chula Vista,California,United States,91910,tamara.liang.@gmail.com
11088,AW00011088,Hunter Davis,San Diego,California,United States,92102,hunter.davis.@gmail.com
11089,AW00011089,Abigail Price,Long Beach,California,United States,90802,abigail.price.@gmail.com
11090,AW00011090,Trevor Bryant,Los Angeles,California,United States,90012,trevor.bryant.@gmail.com
11091,AW00011091,Dalton Perez,Haney,British Columbia,Canada,V2W 1W2,dalton.perez.@gmail.com
11092,AW00011092,Cheryl Diaz,East Brisbane,Queensland,Australia,4169,cheryl.diaz.@gmail.com
11093,AW00011093,Aimee He,Wollongong,New South Wales,Australia,2500,aimee.he.@gmail.com
11094,AW00011094,Cedric Ma,Cranbourne,Victoria,Australia,3977,cedric.ma.@gmail.com
11095,AW00011095,Chad Kumar,Port Macquarie,New South Wales,Australia,2444,chad.kumar.@gmail.com
11096,AW00011096,Andrés Anand,North Sydney,New South Wales,Australia,2055,andrés.anand.@gmail.com
11097,AW00011097,Edwin Nara,Warrnambool,Victoria,Australia,3280,edwin.nara.@gmail.com
11098,AW00011098,Mallory Rubio,Rhodes,New South Wales,Australia,2138,mallory.rubio.@gmail.com
11099,AW00011099,Adam Ross,Port Macquarie,New South Wales,Australia,2444,adam.ross.@gmail.com
11100,AW00011100,Latasha Navarro,Cloverdale,South Australia,Australia,6105,latasha.navarro.@gmail.com
11101,AW00011101,Abby Sai,Cranbourne,Victoria,Australia,3977,abby.sai.@gmail.com
11102,AW00011102,Julia Nelson,Sydney,New South Wales,Australia,1002,julia.nelson.@gmail.com
11103,AW00011103,Cassie Chande,Darlinghurst,New South Wales,Australia,2010,cassie.chande.@gmail.com
11104,AW00011104,Edgar Sara,Gold Coast,Queensland,Australia,4217,edgar.sara.@gmail.com
11105,AW00011105,Candace Fernandez,Matraville,New South Wales,Australia,2036,candace.fernandez.@gmail.com
11106,AW00011106,Jessie Liu,Warrnambool,Victoria,Australia,3280,jessie.liu.@gmail.com
11107,AW00011107,Bianca Lin,St. Leonards,New South Wales,Australia,2065,bianca.lin.@gmail.com
11108,AW00011108,Kari Alvarez,Port Macquarie,New South Wales,Australia,2444,kari.alvarez.@gmail.com
11109,AW00011109,Ruben Kapoor,South Melbourne,Victoria,Australia,3205,ruben.kapoor.@gmail.com
11110,AW00011110,Curtis Yang,Darlinghurst,New South Wales,Australia,2010,curtis.yang.@gmail.com
11111,AW00011111,Meredith Gutierrez,Geelong,Victoria,Australia,3220,meredith.gutierrez.@gmail.com
11112,AW00011112,Crystal Wang,Hervey Bay,Queensland,Australia,4655,crystal.wang.@gmail.com
11113,AW00011113,Micheal Blanco,Perth,South Australia,Australia,6006,micheal.blanco.@gmail.com
11114,AW00011114,Leslie Moreno,Rhodes,New South Wales,Australia,2138,leslie.moreno.@gmail.com
11115,AW00011115,Alvin Cai,St. Leonards,New South Wales,Australia,2065,alvin.cai.@gmail.com
11116,AW00011116,Clinton Carlson,Sydney,New South Wales,Australia,1002,clinton.carlson.@gmail.com
11117,AW00011117,April Deng,Matraville,New South Wales,Australia,2036,april.deng.@gmail.com
11118,AW00011118,Alvin Zeng,Lavender Bay,New South Wales,Australia,2060,alvin.zeng.@gmail.com
11119,AW00011119,Evan James,Port Macquarie,New South Wales,Australia,2444,evan.james.@gmail.com
11120,AW00011120,Beth Jiménez,Sydney,New South Wales,Australia,1002,beth.jiménez.@gmail.com
11121,AW00011121,Orlando Suarez,Newcastle,New South Wales,Australia,2300,orlando.suarez.@gmail.com
11122,AW00011122,Byron Vazquez,North Sydney,New South Wales,Australia,2055,byron.vazquez.@gmail.com
11123,AW00011123,Philip Alvarez,Sunbury,Victoria,Australia,3429,philip.alvarez.@gmail.com
11124,AW00011124,Ross Jordan,Warrnambool,Victoria,Australia,3280,ross.jordan.@gmail.com
11125,AW00011125,Dana Navarro,Seaford,Victoria,Australia,3198,dana.navarro.@gmail.com
11126,AW00011126,Shaun Carson,North Ryde,New South Wales,Australia,2113,shaun.carson.@gmail.com
11127,AW00011127,Jan Edwards,San Gabriel,California,United States,91776,jan.edwards.@gmail.com
11128,AW00011128,Samantha Long,Renton,Washington,United States,98055,samantha.long.@gmail.com
11129,AW00011129,Julia Wright,Sedro Woolley,Washington,United States,98284,julia.wright.@gmail.com
11130,AW00011130,Caroline Russell,Lebanon,Oregon,United States,97355,caroline.russell.@gmail.com
11131,AW00011131,Amanda Rivera,Haney,British Columbia,Canada,V2W 1W2,amanda.rivera.@gmail.com
11132,AW00011132,Melissa Richardson,Langford,British Columbia,Canada,V9,melissa.richardson.@gmail.com
11133,AW00011133,Angela Griffin,Lake Oswego,Oregon,United States,97034,angela.griffin.@gmail.com
11134,AW00011134,Larry Townsend,Perth,South Australia,Australia,6006,larry.townsend.@gmail.com
11135,AW00011135,Marcus Harris,Burlingame,California,United States,94010,marcus.harris.@gmail.com
11136,AW00011136,Brianna Morgan,Metchosin,British Columbia,Canada,V9,brianna.morgan.@gmail.com
11137,AW00011137,Jasmine Taylor,Spokane,Washington,United States,99202,jasmine.taylor.@gmail.com
11138,AW00011138,Lauren Davis,Glendale,California,United States,91203,lauren.davis.@gmail.com
11139,AW00011139,Tanya Moreno,Cloverdale,South Australia,Australia,6105,tanya.moreno.@gmail.com
11140,AW00011140,Javier Alvarez,Burbank,California,United States,91502,javier.alvarez.@gmail.com
11141,AW00011141,Nicole Ramirez,Daly City,California,United States,94015,nicole.ramirez.@gmail.com
11142,AW00011142,Eduardo Patterson,Langford,British Columbia,Canada,V9,eduardo.patterson.@gmail.com
11143,AW00011143,Jonathan Henderson,Lakewood,California,United States,90712,jonathan.henderson.@gmail.com
11144,AW00011144,Edward Hernandez,Ballard,Washington,United States,98107,edward.hernandez.@gmail.com
11145,AW00011145,Jasmine Coleman,Beaverton,Oregon,United States,97005,jasmine.coleman.@gmail.com
11146,AW00011146,Karla Goel,Matraville,New South Wales,Australia,2036,karla.goel.@gmail.com
11147,AW00011147,Ernest Wu,Warrnambool,Victoria,Australia,3280,ernest.wu.@gmail.com
11148,AW00011148,Ross Vazquez,East Brisbane,Queensland,Australia,4169,ross.vazquez.@gmail.com
11149,AW00011149,Theodore Gill,Hervey Bay,Queensland,Australia,4655,theodore.gill.@gmail.com
11150,AW00011150,Russell Shen,Sunbury,Victoria,Australia,3429,russell.shen.@gmail.com
11151,AW00011151,Melinda Gill,Sydney,New South Wales,Australia,1002,melinda.gill.@gmail.com
11152,AW00011152,James Williams,Puyallup,Washington,United States,98371,james.williams.@gmail.com
11153,AW00011153,Angela James,Renton,Washington,United States,98055,angela.james.@gmail.com
11154,AW00011154,Megan Walker,Woodburn,Oregon,United States,97071,megan.walker.@gmail.com
11155,AW00011155,Hunter Robinson,Burbank,California,United States,91502,hunter.robinson.@gmail.com
11156,AW00011156,Maria Roberts,Lakewood,California,United States,90712,maria.roberts.@gmail.com
11157,AW00011157,Hannah Long,Tacoma,Washington,United States,98403,hannah.long.@gmail.com
11158,AW00011158,Jason Wright,San Gabriel,California,United States,91776,jason.wright.@gmail.com
11159,AW00011159,Brianna Hughes,Woodland Hills,California,United States,91364,brianna.hughes.@gmail.com
11160,AW00011160,Maurice Tang,Concord,California,United States,94519,maurice.tang.@gmail.com
11161,AW00011161,Emily Wood,Concord,California,United States,94519,emily.wood.@gmail.com
11162,AW00011162,Chase Cox,La Jolla,California,United States,92806,chase.cox.@gmail.com
11163,AW00011163,Gabriel Wang,Spring Valley,California,United States,91977,gabriel.wang.@gmail.com
11164,AW00011164,Devin Brooks,Torrance,California,United States,90505,devin.brooks.@gmail.com
11165,AW00011165,Jocelyn Alexander,Oakland,California,United States,94611,jocelyn.alexander.@gmail.com
11166,AW00011166,Ashley Martinez,Olympia,Washington,United States,98501,ashley.martinez.@gmail.com
11167,AW00011167,Jasmine Barnes,Issaquah,Washington,United States,98027,jasmine.barnes.@gmail.com
11168,AW00011168,David Rodriguez,Oakland,California,United States,94611,david.rodriguez.@gmail.com
11169,AW00011169,Bryce Richardson,Coronado,California,United States,92118,bryce.richardson.@gmail.com
11170,AW00011170,Carol Howard,Burien,Washington,United States,98168,carol.howard.@gmail.com
11171,AW00011171,Jonathan Hill,Woodland Hills,California,United States,91364,jonathan.hill.@gmail.com
11172,AW00011172,Gabrielle Adams,Lynnwood,Washington,United States,98036,gabrielle.adams.@gmail.com
11173,AW00011173,Sarah Thomas,W. Linn,Oregon,United States,97068,sarah.thomas.@gmail.com
11174,AW00011174,Nicholas Robinson,Los Angeles,California,United States,90012,nicholas.robinson.@gmail.com
11175,AW00011175,Luis Wang,Beverly Hills,California,United States,90210,luis.wang.@gmail.com
11176,AW00011176,Mason Roberts,Haney,British Columbia,Canada,V2W 1W2,mason.roberts.@gmail.com
11177,AW00011177,Jose Flores,San Diego,California,United States,92102,jose.flores.@gmail.com
11178,AW00011178,Nathan Johnson,Lakewood,California,United States,90712,nathan.johnson.@gmail.com
11179,AW00011179,Molly Rodriguez,Beverly Hills,California,United States,90210,molly.rodriguez.@gmail.com
11180,AW00011180,April Anand,Chula Vista,California,United States,91910,april.anand.@gmail.com
11181,AW00011181,Devin Martin,Los Angeles,California,United States,90012,devin.martin.@gmail.com
11182,AW00011182,Stephanie Torres,Sedro Woolley,Washington,United States,98284,stephanie.torres.@gmail.com
11183,AW00011183,Jasmine Lee,Santa Cruz,California,United States,95062,jasmine.lee.@gmail.com
11184,AW00011184,Meghan Hernandez,Concord,California,United States,94519,meghan.hernandez.@gmail.com
11185,AW00011185,Ashley Henderson,Metchosin,British Columbia,Canada,V9,ashley.henderson.@gmail.com
11186,AW00011186,Sarah Price,Palo Alto,California,United States,94303,sarah.price.@gmail.com
11187,AW00011187,Jennifer Cooper,Burien,Washington,United States,98168,jennifer.cooper.@gmail.com
11188,AW00011188,Catherine Morris,San Gabriel,California,United States,91776,catherine.morris.@gmail.com
11189,AW00011189,Lawrence Blanco,Bellingham,Washington,United States,98225,lawrence.blanco.@gmail.com
11190,AW00011190,Carson Bryant,Beverly Hills,California,United States,90210,carson.bryant.@gmail.com
11191,AW00011191,Kristi Perez,Colma,California,United States,94014,kristi.perez.@gmail.com
11192,AW00011192,James Brown,Seattle,Washington,United States,98104,james.brown.@gmail.com
11193,AW00011193,Ian Gray,Woodburn,Oregon,United States,97071,ian.gray.@gmail.com
